hidden_layer,number_of_hidden_nodes,output_layer,Data balancer,Average true rate,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Average true positive with cutoff,Average true negative rate with cutoff,Average false positive rate with cutoff,Average false negative rate with cutoff,Average unclassified from cutoff
Tanh,1,Softmax,NoneType,NoneType,0.6887254331113981,0.5917107583774249,0.7857401078453711,0.21425989215462896,0.40828924162257496,0.4588183421516754,0.6551940457203616,0.11429938482570062,0.29250440917107584,0.29250440917107584
ExpLin,1,Softmax,NoneType,NoneType,0.697631157017122,0.59673721340388,0.7985251006303639,0.20147489936963617,0.40326278659611986,0.4567901234567901,0.6364821143768512,0.09772765246449455,0.2922398589065256,0.2922398589065256
Tanh,1,Softmax,ClusterCentroids,ClusterCentroids,0.7047133827835582,0.6239858906525573,0.7854408749145593,0.21455912508544087,0.3760141093474427,0.48095238095238085,0.6527029695450749,0.11905977063871802,0.2723985890652557,0.2723985890652557
ExpLin,1,Softmax,ClusterCentroids,ClusterCentroids,0.6919548872180451,0.5873015873015873,0.7966081871345029,0.2033918128654971,0.41269841269841273,0.45696649029982356,0.6421903242955874,0.1012181970076707,0.2581128747795414,0.2581128747795414
Rectifier,1,Softmax,NoneType,NoneType,0.6631736327350363,0.5090828924162257,0.8172643730538467,0.18273562694615322,0.4909171075837742,0.3979717813051146,0.5556618819776715,0.0869233690286322,0.24435626102292773,0.24435626102292773
Tanh,1,Softmax,EditedNearestNeighbours,EditedNearestNeighbours,0.6922065264170527,0.598941798941799,0.7854712538923065,0.21452874610769346,0.40105820105820106,0.45661375661375664,0.6533166248955723,0.11269993164730008,0.30917107583774245,0.30917107583774245
Sigmoid,1,Softmax,NoneType,NoneType,0.6864456174105297,0.604673721340388,0.7682175134806712,0.23178248651932862,0.39532627865961195,0.49347442680776016,0.6281446039340777,0.1305247968405863,0.2893298059964727,0.2893298059964727
ExpLin,1,Softmax,EditedNearestNeighbours,EditedNearestNeighbours,0.6901464097955325,0.5964726631393298,0.7838201564517354,0.21617984354826458,0.4035273368606702,0.4729276895943562,0.6162876889192678,0.10663628768891927,0.268342151675485,0.268342151675485
Tanh,1,Softmax,InstanceHardnessThreshold,InstanceHardnessThreshold,0.6992875285857743,0.6061728395061728,0.7924022176653756,0.20759778233462445,0.3938271604938272,0.48051146384479715,0.6685471253892307,0.11845826687931953,0.304320987654321,0.304320987654321
ExpLin,1,Softmax,InstanceHardnessThreshold,InstanceHardnessThreshold,0.6920789769035384,0.5799823633156967,0.8041755904913801,0.19582440950862004,0.4200176366843033,0.45176366843033505,0.6450170881749829,0.09808612440191387,0.2848324514991182,0.2848324514991182
Rectifier,1,Softmax,ClusterCentroids,ClusterCentroids,0.6708671932356142,0.5171957671957671,0.8245386192754615,0.17546138072453862,0.4828042328042328,0.4180776014109347,0.5495207716260347,0.0843912812333865,0.21313932980599645,0.21313932980599645
Tanh,1,Softmax,NearMiss,NearMiss,0.6807328506451314,0.5872134038800705,0.7742522974101922,0.2257477025898079,0.41278659611992946,0.46913580246913583,0.6526194273562694,0.12323536113009798,0.31869488536155205,0.31869488536155205
ExpLin,1,Softmax,NearMiss,NearMiss,0.702907268170426,0.6015873015873016,0.8042272347535505,0.19577276524644946,0.3984126984126984,0.4783068783068783,0.6316184400394927,0.10025518341307815,0.27266313932980596,0.27266313932980596
Sigmoid,1,Softmax,ClusterCentroids,ClusterCentroids,0.6974621317603774,0.6117283950617284,0.7831958684590262,0.21680413154097367,0.3882716049382717,0.4619929453262786,0.6465998329156224,0.10982152350573404,0.2821869488536155,0.2821869488536155
Tanh,1,Softmax,NeighbourhoodCleaningRule,NeighbourhoodCleaningRule,0.6845155818840029,0.582010582010582,0.787020581757424,0.21297941824257616,0.41798941798941797,0.4970017636684303,0.6689086352244247,0.11939090149616466,0.3163139329805996,0.3163139329805996
ExpLin,1,Softmax,NeighbourhoodCleaningRule,NeighbourhoodCleaningRule,0.6968070006666499,0.6139329805996473,0.7796810207336523,0.22031897926634766,0.38606701940035276,0.5002645502645503,0.6335581377686641,0.11016936280094175,0.2679012345679012,0.2679012345679012
Rectifier,1,Softmax,EditedNearestNeighbours,EditedNearestNeighbours,0.6643349957385045,0.48395061728395056,0.8447193741930584,0.1552806258069416,0.5160493827160494,0.3897707231040564,0.5789716716032506,0.08335535809220018,0.2768959435626102,0.2768959435626102
Tanh,1,Softmax,OneSidedSelection,OneSidedSelection,0.6974669417651874,0.5916225749559083,0.8033113085744664,0.1966886914255335,0.4083774250440917,0.46613756613756613,0.6766324903167008,0.11203615098351942,0.2902116402116402,0.2902116402116402
ExpLin,1,Softmax,OneSidedSelection,OneSidedSelection,0.7035222315046875,0.5916225749559082,0.8154218880534669,0.18457811194653298,0.4083774250440917,0.44409171075837744,0.6601154401154402,0.09514240145819093,0.27539682539682536,0.27539682539682536
Tanh,1,Softmax,RandomUnderSampler,RandomUnderSampler,0.6806193936018498,0.5818342151675485,0.779404572036151,0.220595427963849,0.41816578483245154,0.4706349206349206,0.6565048986101618,0.12349206349206349,0.3147266313932981,0.3147266313932981
Sigmoid,1,Softmax,EditedNearestNeighbours,EditedNearestNeighbours,0.7007154671189758,0.6064373897707231,0.7949935444672288,0.20500645553277133,0.39356261022927685,0.48315696649029977,0.6574603174603174,0.11426141110351638,0.29717813051146386,0.29717813051146386
ExpLin,1,Softmax,RandomUnderSampler,RandomUnderSampler,0.6950530366319839,0.5894179894179894,0.8006880838459787,0.19931191615402144,0.4105820105820106,0.4471781305114639,0.6386648439280017,0.10092807777018303,0.2514991181657848,0.2514991181657848
Tanh,1,Softmax,TomekLinks,TomekLinks,0.6881375155059365,0.5947089947089946,0.7815660363028784,0.21843396369712156,0.40529100529100526,0.46428571428571425,0.6516746411483254,0.1203432824485456,0.29153439153439153,0.29153439153439153
ExpLin,1,Softmax,TomekLinks,TomekLinks,0.7003054353054353,0.6018518518518517,0.7987590187590188,0.20124098124098122,0.39814814814814814,0.4590828924162258,0.6306265664160401,0.10410419989367359,0.26490299823633157,0.26490299823633157
Rectifier,1,Softmax,InstanceHardnessThreshold,InstanceHardnessThreshold,0.6492185429904728,0.42865961199294533,0.8697774739880003,0.13022252601199968,0.5713403880070547,0.32283950617283946,0.5643867243867243,0.07195716564137618,0.2581128747795414,0.2581128747795414
Tanh,1,Softmax,ADASYN,ADASYN,0.6969243394681991,0.6115520282186949,0.7822966507177034,0.21770334928229665,0.38844797178130513,0.49753086419753084,0.6546396293764715,0.11681780208095997,0.28712522045855376,0.28712522045855376
ExpLin,1,Softmax,ADASYN,ADASYN,0.6995779009814097,0.6035273368606702,0.7956284651021495,0.20437153489785068,0.3964726631393298,0.4755731922398589,0.6268945089997722,0.10536796536796537,0.2584656084656085,0.2584656084656085
Tanh,1,Softmax,RandomOverSampler,RandomOverSampler,0.6857531876830123,0.5701940035273368,0.8013123718386876,0.19868762816131239,0.4298059964726631,0.4619047619047619,0.6866955266955267,0.10921546289967342,0.3188712522045855,0.3188712522045855
Rectifier,1,Softmax,NearMiss,NearMiss,0.6998363754504106,0.5850088183421517,0.8146639325586694,0.1853360674413306,0.41499118165784826,0.4696649029982363,0.6522913343965976,0.10126528442317917,0.28456790123456793,0.28456790123456793
Sigmoid,1,Softmax,InstanceHardnessThreshold,InstanceHardnessThreshold,0.6990036539159346,0.6065255731922399,0.7914817346396293,0.20851826536037063,0.3934744268077601,0.4685185185185185,0.6625108225108226,0.10917597022860182,0.2872134038800705,0.2872134038800705
Tanh,1,Softmax,SMOTE,SMOTE,0.6946659578238527,0.6137566137566138,0.7755753018910913,0.22442469810890864,0.3862433862433862,0.49074074074074076,0.639925571504519,0.11458190931875144,0.2770723104056438,0.2770723104056438
ExpLin,1,Softmax,RandomOverSampler,RandomOverSampler,0.6935685172527278,0.58994708994709,0.7971899445583657,0.2028100554416344,0.41005291005291006,0.4787477954144621,0.6399422799422799,0.10761297182349815,0.2732804232804233,0.2732804232804233
Tanh,1,Softmax,SMOTEENN,SMOTEENN,0.6891485447625799,0.5633156966490299,0.8149813928761297,0.18501860712387028,0.43668430335096997,0.44038800705467374,0.6946289967342599,0.10541049593681172,0.3013227513227513,0.3013227513227513
ExpLin,1,Softmax,SMOTE,SMOTE,0.7046709366007611,0.5876543209876542,0.8216875522138679,0.17831244778613198,0.4123456790123457,0.43562610229276894,0.6621660211133894,0.08373205741626795,0.2942680776014109,0.2942680776014109
Rectifier,1,Softmax,NeighbourhoodCleaningRule,NeighbourhoodCleaningRule,0.668419364910593,0.510758377425044,0.8260803523961417,0.1739196476038581,0.4892416225749559,0.39691358024691353,0.5596065922381712,0.08790764790764789,0.22998236331569666,0.22998236331569666
Tanh,1,Softmax,SMOTETomek,SMOTETomek,0.6955993519151414,0.6089947089947089,0.7822039948355738,0.2177960051644262,0.39100529100529097,0.4977954144620811,0.6465542644490012,0.12065770486823119,0.28492063492063485,0.28492063492063485
ExpLin,1,Softmax,SMOTEENN,SMOTEENN,0.6981771347560821,0.5917989417989418,0.8045553277132225,0.19544467228677753,0.4082010582010582,0.44929453262786595,0.6476782866256551,0.1002612592086276,0.27804232804232804,0.27804232804232804
Sigmoid,1,Softmax,NearMiss,NearMiss,0.6995444841058877,0.6162257495590828,0.7828632186526923,0.21713678134730766,0.3837742504409171,0.49021164021164015,0.6488114224956331,0.116514012303486,0.2751322751322751,0.2751322751322751
ExpLin,1,Softmax,SMOTETomek,SMOTETomek,0.7067504198205953,0.6258377425044092,0.7876630971367812,0.21233690286321863,0.3741622574955909,0.4787477954144621,0.6201944254575834,0.10886002886002884,0.2607583774250441,0.2607583774250441
Rectifier,1,Softmax,OneSidedSelection,OneSidedSelection,0.6644179472249648,0.5208112874779542,0.8080246069719754,0.1919753930280246,0.4791887125220458,0.43368606701940043,0.5419229892914104,0.10029163818637503,0.22495590828924159,0.22495590828924159
Sigmoid,1,Softmax,NeighbourhoodCleaningRule,NeighbourhoodCleaningRule,0.6929216137988069,0.6188712522045855,0.766971975393028,0.23302802460697195,0.38112874779541445,0.5008818342151675,0.631636667426141,0.11872863978127136,0.26014109347442677,0.26014109347442677
Rectifier,1,Softmax,RandomUnderSampler,RandomUnderSampler,0.6430623275360118,0.4367724867724867,0.8493521682995366,0.15064783170046328,0.5632275132275132,0.3454144620811288,0.4670813397129187,0.08025974025974025,0.20520282186948854,0.20520282186948854
Sigmoid,1,Softmax,OneSidedSelection,OneSidedSelection,0.6919535792342811,0.6067901234567902,0.7771170350117718,0.22288296498822815,0.3932098765432099,0.48571428571428577,0.6497501329080277,0.121617680565049,0.277689594356261,0.277689594356261
Rectifier,1,Softmax,TomekLinks,TomekLinks,0.6758118359872745,0.5261022927689595,0.8255213792055898,0.17447862079441032,0.4738977072310406,0.41234567901234565,0.5603645477329687,0.0948659527606896,0.2320987654320988,0.2320987654320988
Sigmoid,1,Softmax,RandomUnderSampler,RandomUnderSampler,0.6962462553690623,0.6118165784832451,0.7806759322548796,0.21932406774512037,0.38818342151675483,0.49074074074074076,0.645045948203843,0.11902787271208325,0.2751322751322751,0.2751322751322751
Rectifier,1,Softmax,ADASYN,ADASYN,0.6715101727382429,0.5261022927689595,0.8169180527075263,0.18308194729247362,0.4738977072310406,0.4175485008818342,0.5521136173767753,0.08756436545910229,0.22716049382716044,0.22716049382716044
Sigmoid,1,Softmax,TomekLinks,TomekLinks,0.6918597419474612,0.5947971781305115,0.788922305764411,0.21107769423558898,0.4052028218694885,0.48800705467372135,0.6465755297334245,0.11493886230728334,0.2939153439153439,0.2939153439153439
Rectifier,1,Softmax,RandomOverSampler,RandomOverSampler,0.6750589014624103,0.5016754850088184,0.8484423179160022,0.1515576820839979,0.49832451499118163,0.3666666666666667,0.5756664388243337,0.07929368876737299,0.2589065255731922,0.2589065255731922
Sigmoid,1,Softmax,ADASYN,ADASYN,0.6893527590018819,0.5869488536155203,0.7917566643882434,0.20824333561175667,0.4130511463844797,0.48068783068783066,0.6641133135869978,0.10636591478696743,0.2945326278659612,0.2945326278659612
Rectifier,1,Softmax,SMOTE,SMOTE,0.6759076141532282,0.5310405643738978,0.8207746639325587,0.17922533606744132,0.46895943562610226,0.4000881834215168,0.6181954887218045,0.0887977519556467,0.26278659611992944,0.26278659611992944
Rectifier,1,Softmax,SMOTEENN,SMOTEENN,0.6826186678818257,0.5333333333333333,0.8319040024303183,0.16809599756968177,0.4666666666666666,0.41534391534391535,0.6207382091592618,0.08755373281689072,0.2723985890652557,0.2723985890652557
Sigmoid,1,Softmax,RandomOverSampler,RandomOverSampler,0.691467599976372,0.5910934744268078,0.791841725525936,0.2081582744740639,0.40890652557319224,0.44682539682539685,0.6476387939545835,0.11330143540669856,0.2806878306878307,0.2806878306878307
Rectifier,1,Softmax,SMOTETomek,SMOTETomek,0.6479819076310305,0.4583774250440918,0.8375863902179691,0.16241360978203084,0.5416225749559082,0.34885361552028216,0.5261441482494114,0.0799346851978431,0.24285714285714288,0.24285714285714288
Sigmoid,1,Softmax,SMOTE,SMOTE,0.6927985789389298,0.5966490299823634,0.7889481278954964,0.21105187210450368,0.4033509700176367,0.48315696649029977,0.6654302422723476,0.11014961646540593,0.2923280423280423,0.2923280423280423
Sigmoid,1,Softmax,SMOTEENN,SMOTEENN,0.6966681434225294,0.6014991181657848,0.7918371686792739,0.20816283132072608,0.3985008818342151,0.4999118165784832,0.6533667502088555,0.11141338193969774,0.2850970017636684,0.2850970017636684
Sigmoid,1,Softmax,SMOTETomek,SMOTETomek,0.6830363788258526,0.5698412698412698,0.7962314878104352,0.20376851218956482,0.43015873015873013,0.46596119929453267,0.6733135869977974,0.10826004404951774,0.2994708994708995,0.2994708994708995
